2024-08-11 12:40:19.379155: CHG Number: CHG1234567
2024-08-11 12:40:20.990700: Processing VM: dgm011581
2024-08-11 12:40:20.991030: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01/providers/Microsoft.Compute/virtualMachines/dgm011581
2024-08-11 12:40:20.991285: Resource group: AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01
2024-08-11 12:40:22.207371: Processing VM: dgm011582
2024-08-11 12:40:22.207724: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01/providers/Microsoft.Compute/virtualMachines/dgm011582
2024-08-11 12:40:22.207937: Resource group: AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01
2024-08-11 12:40:23.390680: Processing VM: dgm011583
2024-08-11 12:40:23.391068: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01/providers/Microsoft.Compute/virtualMachines/dgm011583
2024-08-11 12:40:23.391330: Resource group: AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01
2024-08-11 12:40:24.500166: Processing VM: dgm011584
2024-08-11 12:40:24.500530: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01/providers/Microsoft.Compute/virtualMachines/dgm011584
2024-08-11 12:40:24.500777: Resource group: AZ-CORE-NONPROD-01-EBSS-DEV-WESTUS-RG-01
2024-08-11 12:40:25.585943: Processing VM: esns-dns-dev-admin-vm-dgm0114cf
2024-08-11 12:40:25.586370: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-ESNS-DEV-EASTUS-RG-01/providers/Microsoft.Compute/virtualMachines/esns-dns-dev-admin-vm-dgm0114cf
2024-08-11 12:40:25.586618: Resource group: AZ-CORE-NONPROD-01-ESNS-DEV-EASTUS-RG-01
2024-08-11 12:40:27.135026: Processing VM: esns-dns-dev-admin-vm-dgm0114d0
2024-08-11 12:40:27.135375: Resource ID: /subscriptions/48fd4545-8d1b-4da2-b81c-b9e5a6552a61/resourceGroups/AZ-CORE-NONPROD-01-ESNS-DEV-EASTUS-RG-01/providers/Microsoft.Compute/virtualMachines/esns-dns-dev-admin-vm-dgm0114d0
2024-08-11 12:40:27.135607: Resource group: AZ-CORE-NONPROD-01-ESNS-DEV-EASTUS-RG-01
2024-08-11 12:40:45.391715: Processing VM: dgm011570
2024-08-11 12:40:45.392194: Resource ID: /subscriptions/eec3e2f3-252e-4401-b09b-d06c5c499c3a/resourceGroups/AZ-ENTAPP-NONPROD-01-EMCL-DEV-WESTUS-RG-01/providers/Microsoft.Compute/virtualMachines/dgm011570
2024-08-11 12:40:45.392382: Resource group: AZ-ENTAPP-NONPROD-01-EMCL-DEV-WESTUS-RG-01
