2024-08-14 13:17:10.498224: CHG Number: CHG0641781
2024-08-14 13:17:10.896532: Switched to subscription: 48fd4545-8d1b-4da2-b81c-b9e5a6552a61
2024-08-14 13:17:14.835034: Processing VM: dgv011dcc
2024-08-14 13:17:14.835086: Processing VM: dgv011dcd
2024-08-14 13:17:14.835096: Processing VM: esat-app-dev-app-vm-dgm0115d3
2024-08-14 13:17:14.835104: Processing VM: esat-satellite-dev-admin-vm-dgm01169c
2024-08-14 13:17:14.835110: Processing VM: esax-app-dev-app-vm-dgm011951
2024-08-14 13:17:14.835253: Processing VM: esax-automation-dev-app-vm-dgm011363
2024-08-14 13:17:14.835268: Processing VM: dgm011585
2024-08-14 13:17:14.835288: Processing VM: ebax-axwaymft-dev-app-vm-dgm011aa9
2024-08-14 13:17:14.835674: Processing VM: esax-automation-dev-web-vm-dgm010eb7
2024-08-14 13:17:14.835695: Processing VM: esax-app-dev-app-vm-dgm011954
2024-08-14 13:17:14.835703: Processing VM: ebax-axwaymft-dev-app-vm-dgm011aaa
2024-08-14 13:17:14.835719: Processing VM: esax-automation-dev-app-vm-dgm011364
2024-08-14 13:17:14.835772: Processing VM: dgm011583
2024-08-14 13:17:14.835781: Processing VM: afap-flex-dev-sandbox-vm-dgm011bcb
2024-08-14 13:17:14.835789: Processing VM: dgm011582
2024-08-14 13:17:14.835795: Processing VM: dgm011581
2024-08-14 13:17:14.835977: Processing VM: ebax-axwaymft-dev-app-vm-dgm011aac
2024-08-14 13:17:14.836125: Processing VM: esax-automation-dev-app-vm-dgm0110be
2024-08-14 13:17:14.836143: Processing VM: ebax-axwaymft-dev-app-vm-dgm011aab
2024-08-14 13:17:14.838357: Processing VM: dgm011584
2024-08-14 13:17:30.074780: Snapshot created: RH_CHG0641781_esax-app-dev-app-vm-dgm011951_20240814131700
2024-08-14 13:17:30.075563: Processing VM: esat-satellite-dev-app-vm-dgm0119b1
2024-08-14 13:17:30.636503: Snapshot created: RH_CHG0641781_esax-automation-dev-app-vm-dgm011363_20240814131700
2024-08-14 13:17:30.651084: Processing VM: iafa-firedeva-dev-admin-vm-dgm011a44
2024-08-14 13:17:30.801569: Snapshot created: RH_CHG0641781_esax-app-dev-app-vm-dgm011954_20240814131700
2024-08-14 13:17:30.804330: Processing VM: imws-app-dev-app-vm-dgm011bfb
2024-08-14 13:17:30.858072: Snapshot created: RH_CHG0641781_esat-satellite-dev-admin-vm-dgm01169c_20240814131700
2024-08-14 13:17:30.878786: Snapshot created: RH_CHG0641781_esax-automation-dev-app-vm-dgm011364_20240814131700
2024-08-14 13:17:30.990243: Snapshot created: RH_CHG0641781_dgm011585_20240814131700
2024-08-14 13:17:31.059256: Snapshot created: RH_CHG0641781_afap-flex-dev-sandbox-vm-dgm011bcb_20240814131700
2024-08-14 13:17:31.175720: Snapshot created: RH_CHG0641781_dgv011dcc_20240814131700
2024-08-14 13:17:31.184459: Snapshot created: RH_CHG0641781_dgm011583_20240814131700
2024-08-14 13:17:31.189882: Snapshot created: RH_CHG0641781_dgm011581_20240814131700
2024-08-14 13:17:31.235508: Snapshot created: RH_CHG0641781_esax-automation-dev-web-vm-dgm010eb7_20240814131700
2024-08-14 13:17:31.240376: Snapshot created: RH_CHG0641781_ebax-axwaymft-dev-app-vm-dgm011aaa_20240814131700
2024-08-14 13:17:31.241112: Snapshot created: RH_CHG0641781_dgm011582_20240814131700
2024-08-14 13:17:31.245028: Snapshot created: RH_CHG0641781_esat-app-dev-app-vm-dgm0115d3_20240814131700
2024-08-14 13:17:31.250656: Snapshot created: RH_CHG0641781_ebax-axwaymft-dev-app-vm-dgm011aa9_20240814131700
2024-08-14 13:17:31.257448: Snapshot created: RH_CHG0641781_ebax-axwaymft-dev-app-vm-dgm011aab_20240814131700
2024-08-14 13:17:31.264950: Snapshot created: RH_CHG0641781_ebax-axwaymft-dev-app-vm-dgm011aac_20240814131700
2024-08-14 13:17:31.268831: Snapshot created: RH_CHG0641781_dgv011dcd_20240814131700
2024-08-14 13:17:31.271423: Snapshot created: RH_CHG0641781_dgm011584_20240814131700
2024-08-14 13:17:31.271663: Snapshot created: RH_CHG0641781_esax-automation-dev-app-vm-dgm0110be_20240814131700
2024-08-14 13:17:44.756416: Snapshot created: RH_CHG0641781_iafa-firedeva-dev-admin-vm-dgm011a44_20240814131700
2024-08-14 13:17:45.144599: Snapshot created: RH_CHG0641781_esat-satellite-dev-app-vm-dgm0119b1_20240814131700
2024-08-14 13:17:45.803361: Snapshot created: RH_CHG0641781_imws-app-dev-app-vm-dgm011bfb_20240814131700
2024-08-14 13:17:46.100020: Switched to subscription: 3f64d803-6d97-4d15-aad3-aaac35bd5c3f
2024-08-14 13:17:47.661273: Processing VM: dgm011a60
2024-08-14 13:17:47.661574: Processing VM: dgm011831
2024-08-14 13:17:47.661588: Processing VM: dgm011a5e
2024-08-14 13:17:47.661596: Processing VM: dgm011a56
2024-08-14 13:17:47.661616: Processing VM: dgm011a55
2024-08-14 13:17:47.661625: Processing VM: dgm011a5f
2024-08-14 13:18:02.362303: Snapshot created: RH_CHG0641781_dgm011a55_20240814131700
2024-08-14 13:18:02.375595: Snapshot created: RH_CHG0641781_dgm011a5e_20240814131700
2024-08-14 13:18:02.376098: Snapshot created: RH_CHG0641781_dgm011a56_20240814131700
2024-08-14 13:18:02.379819: Snapshot created: RH_CHG0641781_dgm011831_20240814131700
2024-08-14 13:18:02.392301: Snapshot created: RH_CHG0641781_dgm011a5f_20240814131700
2024-08-14 13:18:02.397572: Snapshot created: RH_CHG0641781_dgm011a60_20240814131700
2024-08-14 13:18:02.668024: Switched to subscription: eec3e2f3-252e-4401-b09b-d06c5c499c3a
2024-08-14 13:18:03.834397: Processing VM: dgm010d32-test
2024-08-14 13:18:18.693476: Snapshot created: RH_CHG0641781_dgm010d32-test_20240814131700
